"Provided Code","UPC/EAN","Name","Description","Image URL","Brand","Category","Category Path","Net Content"
"4895241209574","4895241209574","Não informado Mochila De Pirulitos Toy Story","Consulte Produtos por Código de Barras (GTIN/EAN), Classificação Fiscal (NCM), Fabricante, CNAE, Marca, Preço, Tributos (ICMS, PIS, COFINS, CSTs), CFOP e muito mais.","","Não informado","","",""
"4710022020462","4710022020462","品捷行銷有限公司 聯-可樂果(古早味)88g","","https://go-upc.s3.amazonaws.com/images/215562326.jpeg","品捷行銷有限公司","","","88.0 g"
"4549414218015","4549414218015","トップバリュ アロエスキンクリーム 200g","","https://go-upc.s3.amazonaws.com/images/488005774.jpeg","トップバリュ","","","200.0 g"
